id,category,input,output,source_type
SFT-B1-011,Alert Classification,Analyze this alert: A web application generated many HTTP 500 errors after requests containing SQL syntax.,"Classification: Possible SQL injection probing
Severity: Medium-High
MITRE ATT&CK Mapping: Exploit Public-Facing Application if exploitation is confirmed
Reasoning: SQL-like input followed by server errors may indicate injection testing or exploitation attempts.
Recommended Actions: Review web logs, validate input handling, check WAF alerts, patch vulnerable code, and search for successful database errors or data access.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-012,Alert Classification,Analyze this alert: A user downloaded 8 GB of files from a shared drive shortly before submitting a resignation notice.,"Classification: Possible insider data exfiltration
Severity: Medium-High
MITRE ATT&CK Mapping: Exfiltration mapping depends on data path
Reasoning: Large unusual downloads near departure may indicate insider risk but can also have legitimate explanations.
Recommended Actions: Verify business justification, review file sensitivity, check transfer destinations, involve HR/legal as appropriate, and preserve logs.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-013,Alert Classification,Analyze this alert: A host generated repeated DNS queries for random-looking subdomains under the same domain.,"Classification: Possible DNS tunneling or malware beaconing
Severity: Medium-High
MITRE ATT&CK Mapping: Application Layer Protocol: DNS if supported
Reasoning: High-volume random subdomain queries can indicate DNS tunneling, DGA activity, or misconfigured software.
Recommended Actions: Check domain reputation, inspect query volume and entropy, identify the process, block suspicious domains, and review endpoint telemetry.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-014,Alert Classification,Analyze this alert: A user account logged into Microsoft 365 from two countries within 15 minutes.,"Classification: Impossible travel / suspicious cloud login
Severity: Medium-High
MITRE ATT&CK Mapping: Valid Accounts if unauthorized
Reasoning: Rapid logins from geographically distant locations may indicate compromised credentials or VPN/proxy use.
Recommended Actions: Verify user travel/VPN, review MFA, revoke sessions, reset password if suspicious, and inspect mailbox rules.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-015,Alert Classification,Analyze this alert: A server process created a new scheduled task that runs from a public user directory.,"Classification: Suspicious persistence mechanism
Severity: High
MITRE ATT&CK Mapping: Scheduled Task/Job if confirmed
Reasoning: Scheduled tasks running from user-writable paths can indicate persistence by malware or an attacker.
Recommended Actions: Collect task details, identify parent process, disable suspicious task, analyze binary/script, and check for related persistence.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-016,Alert Classification,Analyze this alert: A security tool detected lsass.exe memory access by an unsigned process.,"Classification: Possible credential dumping
Severity: Critical
MITRE ATT&CK Mapping: OS Credential Dumping if confirmed
Reasoning: Unauthorized access to LSASS memory is strongly associated with credential theft.
Recommended Actions: Isolate the endpoint, collect forensic data, reset exposed credentials, review lateral movement, and investigate the process hash.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-017,Alert Classification,Analyze this alert: A firewall alert shows repeated connection attempts from an external IP to many VPN usernames.,"Classification: Possible password spraying against VPN
Severity: High
MITRE ATT&CK Mapping: Brute Force: Password Spraying if supported
Reasoning: Attempts across many usernames from one source are consistent with password spraying.
Recommended Actions: Block or rate-limit source IPs, enforce MFA, review successful logins, notify affected users, and tune detection thresholds.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-018,Alert Classification,Analyze this alert: An endpoint attempted to disable antivirus services using command-line tools.,"Classification: Defense evasion attempt
Severity: High
MITRE ATT&CK Mapping: Impair Defenses if confirmed
Reasoning: Attempts to disable security tools are suspicious and may indicate malware or hands-on-keyboard attacker activity.
Recommended Actions: Isolate if necessary, review parent process and user context, restore protections, collect telemetry, and hunt for related activity.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-019,Alert Classification,Analyze this alert: A cloud IAM user generated a new access key and immediately used it from an unfamiliar region.,"Classification: Suspicious cloud credential activity
Severity: High
MITRE ATT&CK Mapping: Valid Accounts or Cloud Account depending on context
Reasoning: New key creation followed by use from an unfamiliar region may indicate credential compromise.
Recommended Actions: Disable the key if unauthorized, review cloud audit logs, rotate credentials, and inspect recent API actions.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-020,Alert Classification,Analyze this alert: A user received an email with a QR code leading to a login page that resembles the company identity provider.,"Classification: Possible phishing attempt
Severity: Medium-High
MITRE ATT&CK Mapping: Phishing if malicious intent confirmed
Reasoning: QR-code login lures can bypass some email URL scanners and may harvest credentials.
Recommended Actions: Report and quarantine the email, inspect destination URL, block domain, check for submitted credentials, and educate users.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-021,Alert Classification,Analyze this alert: A workstation executed a binary from the downloads folder that contacted a known malware command-and-control domain.,"Classification: Likely malware infection
Severity: Critical
MITRE ATT&CK Mapping: Command and Control over Application Layer Protocol if confirmed
Reasoning: Execution from downloads plus contact with known C2 infrastructure strongly indicates compromise.
Recommended Actions: Isolate host, collect malware sample and hash, block domain, review persistence, and begin incident response.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-022,Alert Classification,Analyze this alert: An alert shows a service account authenticating interactively to a workstation for the first time.,"Classification: Suspicious service account usage
Severity: Medium-High
MITRE ATT&CK Mapping: Valid Accounts if unauthorized
Reasoning: Service accounts generally should not perform interactive logins; this may indicate misuse or compromise.
Recommended Actions: Validate business need, disable interactive login where possible, rotate credentials, and review subsequent activity.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-023,Alert Classification,Analyze this alert: A database administrator exported a full customer table outside the normal maintenance window.,"Classification: Sensitive data access anomaly
Severity: High
MITRE ATT&CK Mapping: Collection or Exfiltration mapping requires transfer evidence
Reasoning: Large sensitive data export outside normal windows may be legitimate maintenance or suspicious data staging.
Recommended Actions: Verify change ticket, review destination, inspect database logs, confirm authorization, and preserve evidence.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-024,Alert Classification,Analyze this alert: An endpoint alert shows a browser spawning cmd.exe and then powershell.exe.,"Classification: Suspicious process chain
Severity: High
MITRE ATT&CK Mapping: Command and Scripting Interpreter if confirmed
Reasoning: Browsers rarely need to spawn command shells; this may indicate exploitation or malicious script execution.
Recommended Actions: Collect command line and parent process data, isolate if active, review browser exploit indicators, and inspect downloaded files.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-025,Alert Classification,Analyze this alert: A user created an inbox forwarding rule to an external email address.,"Classification: Possible mailbox compromise or data leakage
Severity: Medium-High
MITRE ATT&CK Mapping: Email Collection or Account Manipulation if unauthorized
Reasoning: Unexpected external forwarding rules can indicate attacker persistence in a mailbox.
Recommended Actions: Remove the rule if unauthorized, reset credentials, revoke sessions, review mailbox access, and check for related suspicious rules.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-026,Alert Classification,Analyze this alert: A container image was deployed from an unapproved registry into production.,"Classification: Supply chain or deployment policy violation
Severity: High
MITRE ATT&CK Mapping: Not enough evidence for ATT&CK mapping without malicious behavior
Reasoning: Unapproved images may introduce vulnerabilities, malicious code, or compliance risk.
Recommended Actions: Pause deployment, scan the image, verify provenance, review deployment approvals, and enforce registry policy.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-027,Alert Classification,Analyze this alert: A vulnerability scanner found an internet-facing system running an unsupported VPN appliance version.,"Classification: Exposed vulnerable service
Severity: High
MITRE ATT&CK Mapping: Initial Access mapping only if exploitation is observed
Reasoning: Unsupported internet-facing VPN appliances are high-risk targets and should be prioritized.
Recommended Actions: Confirm version, patch or isolate, review logs for exploitation attempts, and check CISA KEV/vendor advisories.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-028,Alert Classification,Analyze this alert: A host made repeated failed attempts to authenticate to many database servers.,"Classification: Possible internal brute force or discovery
Severity: Medium-High
MITRE ATT&CK Mapping: Brute Force or Account Discovery depending on evidence
Reasoning: Repeated authentication attempts across many systems may indicate credential guessing or automated discovery.
Recommended Actions: Identify source process, disable compromised account if needed, review successful attempts, and inspect endpoint telemetry.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-029,Alert Classification,Analyze this alert: A privileged user disabled logging on a production server and then restarted a sensitive service.,"Classification: Possible defense evasion or unauthorized administrative action
Severity: High
MITRE ATT&CK Mapping: Impair Defenses if unauthorized
Reasoning: Disabling logs before service changes reduces visibility and may indicate an attempt to hide activity.
Recommended Actions: Verify change approval, re-enable logging, preserve available logs, review session activity, and escalate if unauthorized.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-030,Alert Classification,Analyze this alert: A laptop connected to a rare external IP immediately after a user opened a compressed attachment.,"Classification: Possible malware execution or phishing payload
Severity: High
MITRE ATT&CK Mapping: Phishing and Command and Control if supported by evidence
Reasoning: Attachment interaction followed by rare outbound traffic can indicate malicious payload execution.
Recommended Actions: Collect attachment and process details, check IP reputation, isolate if needed, and hunt for similar emails.
Confidence: Medium-High
Uncertainty / Verification Notes: Confirm with complete logs, user context, asset criticality, and endpoint/network telemetry before final classification.",synthetic_defensive_training_example
SFT-B1-031,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: An attacker uses stolen VPN credentials to log into the network.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Valid Accounts
Reasoning: The behavior describes use of legitimate credentials for access rather than exploitation. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-032,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A malicious macro launches PowerShell from a Word document.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Command and Scripting Interpreter: PowerShell; Phishing may also apply if delivery is via email
Reasoning: The observable behavior is script execution through PowerShell after document interaction. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-033,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A suspicious binary creates a scheduled task to run every hour.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Scheduled Task/Job
Reasoning: Creating a recurring scheduled task is a common persistence mechanism. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-034,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: An unsigned process attempts to read LSASS memory.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: OS Credential Dumping
Reasoning: Accessing LSASS memory is associated with credential dumping. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-035,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A process disables endpoint protection services.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Impair Defenses
Reasoning: Disabling security tools is a defense evasion behavior. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-036,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A host scans many internal systems over SMB.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Network Service Discovery or Remote Services depending on follow-on activity
Reasoning: SMB connection attempts across internal systems may reflect discovery or lateral movement preparation. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-037,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A mailbox rule forwards all incoming mail to an external address.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Email Collection or Account Manipulation depending on context
Reasoning: External forwarding can enable collection of email data or attacker persistence. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-038,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A phishing email links to a fake identity-provider login page.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Phishing
Reasoning: The scenario describes social engineering intended to steal credentials. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-039,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A cloud access key is created and used from an unfamiliar region.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Valid Accounts / Cloud Accounts if unauthorized
Reasoning: The behavior suggests abuse of cloud credentials. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-040,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A script downloads a tool from an external server after initial execution.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Ingress Tool Transfer
Reasoning: The behavior describes bringing an external tool into the environment. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-041,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A user runs net commands to list domain groups and users.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Account Discovery or Permission Groups Discovery
Reasoning: Listing users and groups is discovery behavior. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-042,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A suspicious process uses rundll32.exe to execute a DLL from a temp folder.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: System Binary Proxy Execution: Rundll32
Reasoning: Using rundll32 to execute suspicious DLL content can be proxy execution. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-043,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A compressed archive contains a shortcut file that launches a script.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: User Execution and Command and Scripting Interpreter
Reasoning: The behavior depends on user interaction and script execution. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-044,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: An attacker compresses staged files before transfer.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Archive Collected Data
Reasoning: Compressing files before transfer is consistent with staging collected data. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-045,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A process creates a new registry run key for persistence.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Registry Run Keys/Startup Folder
Reasoning: Registry run keys are common persistence locations. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-046,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A web shell is uploaded to a public-facing web server.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Server Software Component: Web Shell
Reasoning: A web shell provides persistent remote access through a web server. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-047,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A script clears Windows event logs after suspicious activity.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Indicator Removal: Clear Windows Event Logs
Reasoning: Clearing logs is an attempt to remove indicators. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-048,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: An attacker uses RDP to access another internal host after compromise.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Remote Services: Remote Desktop Protocol
Reasoning: The scenario describes lateral movement or remote access using RDP. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
SFT-B1-049,MITRE ATT&CK Mapping,Map this behavior to MITRE ATT&CK cautiously: A malicious file is disguised with a double extension such as invoice.pdf.exe.,"Classification: MITRE ATT&CK mapping request
Severity: Context-dependent
MITRE ATT&CK Mapping: Masquerading
Reasoning: The file name is designed to appear benign while hiding executable nature. The mapping should be treated as likely rather than definitive unless supported by additional telemetry.
Recommended Actions: Collect supporting logs, command lines, parent-child process data, user context, and network telemetry before finalizing the mapping.
Confidence: Medium
Uncertainty / Verification Notes: ATT&CK mapping depends on full context and should not be overclaimed from a single observable.",synthetic_defensive_training_example
