id,category,input,output_json
SFT-KNOW-011,Cybersecurity Knowledge,Explain the purpose of the NIST Cybersecurity Framework in simple SOC terms. Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""cybersecurity framework explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that it organizes risk management using functions such as govern, identify, protect, detect, respond, and recover."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity framework explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-012,Cybersecurity Knowledge,"What is the difference between a vulnerability, threat, and risk? Provide a concise answer for a junior analyst. Variant 2.","{""classification"": ""cybersecurity concept explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Define vulnerability as weakness, threat as potential actor/event, and risk as likelihood plus impact."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-013,Cybersecurity Knowledge,Explain what multi-factor authentication helps prevent. Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""State that MFA reduces account takeover risk when passwords are stolen, while noting it is not perfect."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-014,Cybersecurity Knowledge,What does least privilege mean in access control? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that users and systems should only have access necessary for their role."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-015,Cybersecurity Knowledge,Explain the difference between detection and response in incident handling. Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""incident response concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Detection identifies suspicious activity; response coordinates containment, eradication, recovery, and lessons learned."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as incident response concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-016,Cybersecurity Knowledge,What is a false positive in security alerting? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""security operations concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that a false positive is an alert that appears malicious but is not actually a threat after investigation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-017,Cybersecurity Knowledge,What is credential stuffing? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""attack concept explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Valid Accounts / credential abuse"", ""recommended_action"": ""Explain that attackers try reused stolen username/password pairs across services and recommend MFA and monitoring."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-018,Cybersecurity Knowledge,What is lateral movement? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""attack concept explanation"", ""severity"": ""high"", ""mitre_mapping"": ""Lateral Movement tactic"", ""recommended_action"": ""Explain that an attacker moves from one system/account to others inside an environment after initial access."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-019,Cybersecurity Knowledge,Why is log retention important for incident response? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""security operations concept"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that retained logs allow analysts to reconstruct activity, scope compromise, and verify remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-020,Cybersecurity Knowledge,What is the purpose of CISA KEV? Provide a concise answer for a junior analyst. Variant 2.,"{""classification"": ""vulnerability intelligence explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that CISA KEV identifies vulnerabilities known to be exploited in the wild and can help prioritize remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as vulnerability intelligence explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-021,Cybersecurity Knowledge,Explain the purpose of the NIST Cybersecurity Framework in simple SOC terms. Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""cybersecurity framework explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that it organizes risk management using functions such as govern, identify, protect, detect, respond, and recover."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity framework explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-022,Cybersecurity Knowledge,"What is the difference between a vulnerability, threat, and risk? Provide a concise answer for a junior analyst. Variant 3.","{""classification"": ""cybersecurity concept explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Define vulnerability as weakness, threat as potential actor/event, and risk as likelihood plus impact."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-023,Cybersecurity Knowledge,Explain what multi-factor authentication helps prevent. Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""State that MFA reduces account takeover risk when passwords are stolen, while noting it is not perfect."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-024,Cybersecurity Knowledge,What does least privilege mean in access control? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that users and systems should only have access necessary for their role."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-025,Cybersecurity Knowledge,Explain the difference between detection and response in incident handling. Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""incident response concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Detection identifies suspicious activity; response coordinates containment, eradication, recovery, and lessons learned."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as incident response concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-026,Cybersecurity Knowledge,What is a false positive in security alerting? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""security operations concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that a false positive is an alert that appears malicious but is not actually a threat after investigation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-027,Cybersecurity Knowledge,What is credential stuffing? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""attack concept explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Valid Accounts / credential abuse"", ""recommended_action"": ""Explain that attackers try reused stolen username/password pairs across services and recommend MFA and monitoring."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-028,Cybersecurity Knowledge,What is lateral movement? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""attack concept explanation"", ""severity"": ""high"", ""mitre_mapping"": ""Lateral Movement tactic"", ""recommended_action"": ""Explain that an attacker moves from one system/account to others inside an environment after initial access."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-029,Cybersecurity Knowledge,Why is log retention important for incident response? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""security operations concept"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that retained logs allow analysts to reconstruct activity, scope compromise, and verify remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-030,Cybersecurity Knowledge,What is the purpose of CISA KEV? Provide a concise answer for a junior analyst. Variant 3.,"{""classification"": ""vulnerability intelligence explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that CISA KEV identifies vulnerabilities known to be exploited in the wild and can help prioritize remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as vulnerability intelligence explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-031,Cybersecurity Knowledge,Explain the purpose of the NIST Cybersecurity Framework in simple SOC terms. Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""cybersecurity framework explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that it organizes risk management using functions such as govern, identify, protect, detect, respond, and recover."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity framework explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-032,Cybersecurity Knowledge,"What is the difference between a vulnerability, threat, and risk? Provide a concise answer for a junior analyst. Variant 4.","{""classification"": ""cybersecurity concept explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Define vulnerability as weakness, threat as potential actor/event, and risk as likelihood plus impact."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-033,Cybersecurity Knowledge,Explain what multi-factor authentication helps prevent. Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""State that MFA reduces account takeover risk when passwords are stolen, while noting it is not perfect."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-034,Cybersecurity Knowledge,What does least privilege mean in access control? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that users and systems should only have access necessary for their role."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-035,Cybersecurity Knowledge,Explain the difference between detection and response in incident handling. Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""incident response concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Detection identifies suspicious activity; response coordinates containment, eradication, recovery, and lessons learned."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as incident response concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-036,Cybersecurity Knowledge,What is a false positive in security alerting? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""security operations concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that a false positive is an alert that appears malicious but is not actually a threat after investigation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-037,Cybersecurity Knowledge,What is credential stuffing? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""attack concept explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Valid Accounts / credential abuse"", ""recommended_action"": ""Explain that attackers try reused stolen username/password pairs across services and recommend MFA and monitoring."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-038,Cybersecurity Knowledge,What is lateral movement? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""attack concept explanation"", ""severity"": ""high"", ""mitre_mapping"": ""Lateral Movement tactic"", ""recommended_action"": ""Explain that an attacker moves from one system/account to others inside an environment after initial access."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-039,Cybersecurity Knowledge,Why is log retention important for incident response? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""security operations concept"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that retained logs allow analysts to reconstruct activity, scope compromise, and verify remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-040,Cybersecurity Knowledge,What is the purpose of CISA KEV? Provide a concise answer for a junior analyst. Variant 4.,"{""classification"": ""vulnerability intelligence explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that CISA KEV identifies vulnerabilities known to be exploited in the wild and can help prioritize remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as vulnerability intelligence explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-041,Cybersecurity Knowledge,Explain the purpose of the NIST Cybersecurity Framework in simple SOC terms. Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""cybersecurity framework explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that it organizes risk management using functions such as govern, identify, protect, detect, respond, and recover."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity framework explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-042,Cybersecurity Knowledge,"What is the difference between a vulnerability, threat, and risk? Provide a concise answer for a junior analyst. Variant 5.","{""classification"": ""cybersecurity concept explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Define vulnerability as weakness, threat as potential actor/event, and risk as likelihood plus impact."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as cybersecurity concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-043,Cybersecurity Knowledge,Explain what multi-factor authentication helps prevent. Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""State that MFA reduces account takeover risk when passwords are stolen, while noting it is not perfect."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-044,Cybersecurity Knowledge,What does least privilege mean in access control? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""security control explanation"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that users and systems should only have access necessary for their role."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security control explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-045,Cybersecurity Knowledge,Explain the difference between detection and response in incident handling. Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""incident response concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Detection identifies suspicious activity; response coordinates containment, eradication, recovery, and lessons learned."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as incident response concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-046,Cybersecurity Knowledge,What is a false positive in security alerting? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""security operations concept"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that a false positive is an alert that appears malicious but is not actually a threat after investigation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-047,Cybersecurity Knowledge,What is credential stuffing? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""attack concept explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Valid Accounts / credential abuse"", ""recommended_action"": ""Explain that attackers try reused stolen username/password pairs across services and recommend MFA and monitoring."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-048,Cybersecurity Knowledge,What is lateral movement? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""attack concept explanation"", ""severity"": ""high"", ""mitre_mapping"": ""Lateral Movement tactic"", ""recommended_action"": ""Explain that an attacker moves from one system/account to others inside an environment after initial access."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as attack concept explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-049,Cybersecurity Knowledge,Why is log retention important for incident response? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""security operations concept"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that retained logs allow analysts to reconstruct activity, scope compromise, and verify remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as security operations concept because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-KNOW-050,Cybersecurity Knowledge,What is the purpose of CISA KEV? Provide a concise answer for a junior analyst. Variant 5.,"{""classification"": ""vulnerability intelligence explanation"", ""severity"": ""medium"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""Explain that CISA KEV identifies vulnerabilities known to be exploited in the wild and can help prioritize remediation."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as vulnerability intelligence explanation because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-001,Alert Classification,Classify this SOC alert and recommend safe next steps: Multiple failed logins followed by a successful login from a new country for the same user account.,"{""classification"": ""possible credential compromise"", ""severity"": ""high"", ""mitre_mapping"": ""Valid Accounts / Brute Force"", ""recommended_action"": ""Review sign-in logs, verify user activity, reset credentials if unauthorized, require MFA, and check for follow-on activity."", ""confidence"": ""medium"", ""explanation"": ""The scenario is best treated as possible credential compromise because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-002,Alert Classification,Classify this SOC alert and recommend safe next steps: An endpoint alert shows PowerShell launched by Office and then contacting an unfamiliar external domain.,"{""classification"": ""suspicious script execution"", ""severity"": ""high"", ""mitre_mapping"": ""Command and Scripting Interpreter"", ""recommended_action"": ""Isolate the host if needed, collect process tree and command line, block the domain, and check for payload download."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as suspicious script execution because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-003,Alert Classification,Classify this SOC alert and recommend safe next steps: A user reports an email asking them to verify payroll details through a shortened link.,"{""classification"": ""phishing attempt"", ""severity"": ""medium"", ""mitre_mapping"": ""Phishing"", ""recommended_action"": ""Quarantine the email, block the URL, inspect headers, warn affected users, and reset credentials if submitted."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as phishing attempt because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-004,Alert Classification,Classify this SOC alert and recommend safe next steps: A server sends unusually high outbound traffic to an IP address not seen before.,"{""classification"": ""possible data exfiltration"", ""severity"": ""high"", ""mitre_mapping"": ""Exfiltration"", ""recommended_action"": ""Validate the destination, review netflow and process logs, restrict outbound traffic, and preserve evidence."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as possible data exfiltration because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-005,Alert Classification,Classify this SOC alert and recommend safe next steps: An administrator account creates a new mailbox forwarding rule at 2:15 AM without a ticket.,"{""classification"": ""suspicious account activity"", ""severity"": ""high"", ""mitre_mapping"": ""Email Collection / Account Discovery"", ""recommended_action"": ""Disable or review the rule, verify administrator activity, audit mailbox access, and rotate credentials if unauthorized."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as suspicious account activity because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-006,Alert Classification,Classify this SOC alert and recommend safe next steps: Antivirus blocks a file named invoice_viewer.exe from the downloads folder after a user opened an email attachment.,"{""classification"": ""malware delivery attempt"", ""severity"": ""high"", ""mitre_mapping"": ""User Execution / Phishing"", ""recommended_action"": ""Quarantine the file, collect hashes, inspect email source, scan the endpoint, and check for similar messages."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as malware delivery attempt because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-007,Alert Classification,Classify this SOC alert and recommend safe next steps: A VPN login occurs from the user’s normal location during normal working hours with MFA success.,"{""classification"": ""likely benign authentication"", ""severity"": ""low"", ""mitre_mapping"": ""Not applicable"", ""recommended_action"": ""No immediate escalation; continue routine monitoring and confirm if other risk indicators appear."", ""confidence"": ""high"", ""explanation"": ""The scenario is best treated as likely benign authentication because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
SFT-ALERT-008,Alert Classification,Classify this SOC alert and recommend safe next steps: A cloud storage audit log shows mass file downloads by an account shortly before resignation.,"{""classification"": ""possible insider data theft"", ""severity"": ""high"", ""mitre_mapping"": ""Exfiltration Over Web Service"", ""recommended_action"": ""Escalate to security/legal process, preserve logs, review access, and validate authorization."", ""confidence"": ""medium"", ""explanation"": ""The scenario is best treated as possible insider data theft because the observable behavior matches defensive cybersecurity indicators and should be handled through verification and containment rather than assumptions.""}"
